"Banana", 58.25, 900
"Durazno", 175.78, 728
"Frutilla", 311.75, 267
"Apio", 61.83, 258
"Zuccini", 79.83, 684
"Banana", 59.15, 920
"Alcachofa", 158.74, 288
"Frambuesa", 2076.92, 102
"Durazno", 171.17, 664
"Lima", 1383.88, 234
"Alcachofa", 141.08, 294
"Palta", 1167.92, 456
"Lechuga", 37.13, 792
"Cereza", 985.78, 182
"Naranja", 11.89, 1000
"Mandarina", 15.30, 980
"Mandarina", 14.96, 810
"Frambuesa", 2128.45, 114
"Berenjena", 63.21, 648
"Acelga", 28.52, 954
"Apio", 64.77, 300
"Tomate", 746.58, 837
"Frambuesa", 2034.70, 110
"Lima", 1383.25, 190
"Palta", 1127.65, 332
"Coliflor", 26.44, 430
"Champignon", 3590.71, 109
"Palta", 489.50, 560
"Kiwi", 417.30, 360
"Berenjena", 48.48, 570
"Papa", 22.96, 1190
"Acelga", 16.52, 954
"TomCherry", 501.21, 192
"Mandarina", 18.26, 1130
"Pomelo", 42.90, 756
"Manzana", 143.52, 1060
"Durazno", 266.59, 720
"Tomate", 753.64, 1062
"Zanahoria", 33.86, 516
"Tomate", 743.38, 1017
"Palta", 1176.89, 412
"Pepino", 32.37, 405
"Manzana", 139.55, 1100
"Naranja", 14.00, 830
"Uva", 678.47, 285
"Durazno", 146.88, 784
"Papa", 15.33, 1090
"Pomelo", 48.61, 828
"Palta", 1119.77, 424
"Apio", 62.46, 288
"Mandarina", 25.15, 800
"Coliflor", 29.51, 415
"Kiwi", 452.67, 416
"Choclo", 67.25, 258
"Ciruela", 1006.57, 1017
"Naranja", 18.52, 1170
"Durazno", 178.05, 960
"Mandarina", 15.56, 1090
"Frambuesa", 2048.25, 98
"Durazno", 274.80, 800
"Sandia", 54.07, 873
"Durazno", 145.15, 920
"Lima", 1039.90, 194
"Frambuesa", 2002.93, 112
"Banana", 67.65, 1020
"Palta", 1153.28, 360
"Kiwi", 412.25, 360
"Pepino", 36.80, 455
"Lima", 1217.29, 214
"Batata", 19.54, 820
"Tomate", 765.39, 828
"Tomate", 764.96, 945
"Mandarina", 19.09, 940
"Tomate", 725.25, 882
"Esparrago", 645.85, 190
"Esparrago", 607.36, 188
"Limon", 307.67, 777
"Frutilla", 288.54, 303
"Pomelo", 41.89, 1026
"Manzana", 145.31, 920
"Durazno", 148.55, 736
"Tomate", 724.71, 1044
"Palta", 1165.28, 420
"Lima", 1044.40, 170
"Pera", 137.51, 980
"Morron", 3026.14, 618
"Alcachofa", 147.00, 246
"Durazno", 153.37, 696
"Durazno", 175.50, 952
"Alcachofa", 139.99, 318
"Acelga", 15.39, 1017
"Lima", 1017.22, 214
"Pomelo", 58.65, 1026
"Naranja", 17.93, 1100
"Durazno", 144.58, 688
"Melon", 113.42, 360
"Caqui", 773.27, 97
"Morron", 3004.85, 588
"Alcachofa", 126.36, 315
"Batata", 21.37, 900
"Palta", 1116.00, 384
"Mandarina", 21.15, 850
"Repollo", 0.04, 672
"Berenjena", 41.88, 588
"Durazno", 146.63, 688
"Sandia", 79.47, 990
"Uva", 677.82, 348
"Choclo", 44.92, 291
"Lima", 1194.52, 178
"Calabaza", 23.95, 856
"Apio", 55.82, 240
"Mandarina", 14.56, 860
"Frutilla", 284.02, 330
"Kinoto", 29.34, 214
"Mandarina", 35.18, 1080
"Batata", 22.35, 1150
"Palta", 486.70, 540
"Caqui", 811.62, 88
"Palta", 491.08, 450
"Tomate", 777.79, 936
"TomCherry", 515.39, 234
"Papa", 16.31, 830
"Kinoto", 45.27, 230
"TomCherry", 536.48, 162
"Pera", 149.04, 1070
"Kinoto", 31.26, 206
"Melon", 107.62, 380
"Berenjena", 47.19, 498
"Manzana", 146.90, 830
"Pomelo", 52.47, 900
"TomCherry", 581.99, 174
"Naranja", 16.10, 1070
"Mandarina", 13.30, 810
"Kinoto", 18.81, 234
"Champignon", 3535.08, 108
"Rabanito", 226.55, 330
"Caqui", 810.28, 104
"Naranja", 11.57, 820
"Frutilla", 279.87, 330
"Ajo", 890.54, 84
"Durazno", 300.88, 832
"Pera", 144.05, 1080
"Mandarina", 16.60, 1150
"Zuccini", 88.00, 606
"Papa", 18.30, 1080
"Berenjena", 50.04, 624
"Lima", 1231.44, 182
"Zanahoria", 40.40, 708
"Uva", 699.96, 306
"Coliflor", 33.34, 435
"Limon", 324.98, 784
"TomCherry", 547.48, 216
"Zuccini", 98.50, 594
"Alcachofa", 150.87, 333
"Tomate", 818.12, 873
"Berenjena", 55.53, 612
"Frutilla", 299.71, 270
"Naranja", 10.88, 1060
"Manzana", 154.33, 800
"Pepino", 44.21, 480
"Limon", 303.87, 672
"Naranja", 17.30, 970
"TomCherry", 543.05, 204
"Lima", 1350.60, 186
"Kiwi", 451.34, 324
"Brocoli", 336.41, 380
"Kiwi", 412.32, 348
"Repollo", 6.62, 637
"Papa", 16.83, 940
"Kiwi", 407.39, 344
"Morron", 2873.89, 540
"Limon", 359.70, 756
"Ajo", 883.67, 98
"Frutilla", 304.70, 279
"Mandarina", 16.57, 1050
"Pera", 157.52, 940
"Naranja", 17.88, 1010
"Limon", 341.18, 826
"Limon", 303.97, 770
"Palta", 1058.70, 356
"Durazno", 269.58, 768
"Apio", 52.74, 267
"Melon", 105.03, 368
"Sandia", 74.51, 765
"Coliflor", 23.50, 585
"Ajo", 898.40, 85
"Brocoli", 378.33, 404
"Palta", 1150.41, 412
"Acelga", 21.94, 1062
"Papa", 15.38, 1090
"Palta", 473.85, 565
"Higo", 2571.52, 113
"Cebolla", 65.33, 656
"Lima", 1196.48, 172
"Morron", 2923.84, 486
"Lima", 1079.62, 164
"TomCherry", 595.00, 178
"Pera", 147.12, 820
"Lima", 1040.10, 194
"Ciruela", 958.94, 900
"Pepino", 33.89, 410
"Apio", 61.11, 333
"Esparrago", 619.79, 232
"Tomate", 690.11, 990
"Ciruela", 942.33, 1053
"Uva", 751.24, 264
"TomCherry", 568.19, 224
"Durazno", 184.19, 856
"Palta", 1151.44, 388
"Lechuga", 48.50, 882
"Apio", 59.73, 327
"Papa", 18.57, 950
"Lechuga", 37.25, 729
"Ciruela", 967.33, 846
"Mandarina", 20.50, 1090
"Ciruela", 960.85, 864
"Calabaza", 18.64, 728
"Ajo", 990.89, 85
"Caqui", 812.11, 105
"Durazno", 155.33, 920
"Ciruela", 918.68, 918
"Rabanito", 269.39, 330
"Frutilla", 325.04, 255
"Uva", 743.89, 339
"Cereza", 1021.76, 198
"Champignon", 3625.15, 90
"Lima", 1350.10, 222
"Brocoli", 341.80, 416
"Mandarina", 29.67, 1080
"Durazno", 296.75, 896
"Champignon", 3635.23, 92
"Lima", 1046.96, 184
"Naranja", 17.72, 830
"Ajo", 845.72, 109
"Kiwi", 439.49, 452
"Kinoto", 33.24, 234
"Champignon", 3540.20, 83
"Melon", 137.55, 396
"Sandia", 55.23, 936
"Morron", 2932.04, 672
"Higo", 2546.02, 85
"Pomelo", 59.71, 774
"Tomate", 802.36, 972
"Lima", 1366.95, 208
"Batata", 27.68, 800
"Durazno", 295.81, 752
"Morron", 2919.27, 546
"Tomate", 753.73, 729
"Kinoto", 31.44, 236
"Durazno", 275.40, 952
"Lima", 1022.11, 222
"Durazno", 148.56, 728
"Palta", 492.38, 510
"Repollo", 8.88, 560
"Frambuesa", 2042.77, 107
"Palta", 488.53, 575
"Berenjena", 71.82, 630
"Mandarina", 15.73, 860
"Pera", 128.86, 1120
"Tomate", 754.72, 990
"Sandia", 59.24, 1017
"Higo", 2572.95, 94
"Zuccini", 107.36, 492
"Mandarina", 25.26, 1040
"Kiwi", 429.12, 348
"Lima", 1282.50, 184
"Choclo", 61.24, 270
"Lima", 1033.99, 236
"Berenjena", 62.67, 702
"Pepino", 43.11, 580
"Coliflor", 23.07, 535
"Cereza", 1024.22, 208
"Sandia", 74.26, 1026
"Lima", 1011.75, 234
"Kinoto", 35.40, 202
"Batata", 19.91, 980
"Cebolla", 80.55, 840
"Higo", 2617.07, 85
"Zanahoria", 30.71, 600
"Pera", 143.12, 960
"Acelga", 17.12, 1008
"Palta", 1189.54, 384
"Palta", 470.77, 590
"Batata", 8.36, 1040
"Ajo", 868.10, 103
"Lima", 1262.14, 172
"Mandarina", 18.95, 880
"TomCherry", 500.49, 208
"Champignon", 3587.94, 82
"Durazno", 250.34, 696
"Naranja", 15.71, 1050
"Lima", 1408.29, 214
"Lechuga", 34.35, 783
"Caqui", 816.81, 90
"Mandarina", 29.21, 1130
"Ajo", 871.97, 82
"Palta", 1132.91, 356
"Ciruela", 958.95, 981
"Morron", 2958.23, 672
"Durazno", 181.08, 648
"Uva", 699.54, 339
"Kiwi", 417.19, 368
"Lima", 1218.31, 220
"Limon", 329.88, 560
"Coliflor", 30.04, 450
"Zuccini", 96.31, 666
"Pomelo", 37.72, 891
"Rabanito", 223.42, 279
"Lima", 999.90, 212
"Calabaza", 16.73, 672
"Morron", 2856.35, 582
"Ciruela", 1008.76, 1026
"Cebolla", 69.37, 704
"Higo", 2477.87, 96
"Caqui", 861.35, 112
"Apio", 56.20, 285
"Durazno", 164.05, 704
"Esparrago", 602.55, 168
"Calabaza", 22.79, 872
"Apio", 54.28, 285
"Limon", 330.90, 826
"Frutilla", 289.50, 336
"Palta", 488.82, 575
"Zanahoria", 41.26, 696
"Frambuesa", 2009.29, 90
"Alcachofa", 136.92, 324
"Mandarina", 27.79, 1010
"Esparrago", 647.83, 196
"Naranja", 16.47, 990
"Durazno", 146.29, 664
"Brocoli", 375.19, 336
"Ciruela", 936.18, 1035
"Kiwi", 434.06, 384
"Manzana", 125.06, 800
"Morron", 2994.79, 702
"Pomelo", 42.99, 855
"Lechuga", 32.42, 864
"Naranja", 18.10, 870
"Lima", 1336.96, 198
"Naranja", 14.73, 840
"Rabanito", 213.01, 324
"Naranja", 16.94, 1160
"Frambuesa", 2045.25, 106
"Zuccini", 87.71, 510
"Sandia", 53.61, 981
"Durazno", 159.59, 704
"Acelga", 18.52, 801
"Pera", 154.95, 1170
"Tomate", 752.38, 882
"Lima", 1265.09, 228
"Limon", 324.09, 693
"Frambuesa", 1952.63, 94
"Zuccini", 71.69, 678
"Calabaza", 18.55, 824
"Palta", 1117.93, 436
"Batata", 24.36, 1090
"Pera", 142.96, 1180
"Batata", 20.64, 920
"Calabaza", 28.65, 808
"Zanahoria", 35.63, 606
"Apio", 52.57, 288
"Mandarina", 21.89, 1070
"Alcachofa", 135.29, 258
"Durazno", 188.89, 704
"Ajo", 910.33, 115
"Ajo", 948.00, 81
"Durazno", 153.80, 952
"Zanahoria", 35.21, 690
"Ciruela", 915.77, 981
"Sandia", 51.24, 729
"Kinoto", 28.85, 222
"Morron", 2979.44, 594
"Frutilla", 319.41, 273
"Durazno", 179.04, 784
"Zanahoria", 29.43, 648
"Pepino", 36.74, 525
"Kiwi", 399.51, 428
"Ciruela", 986.90, 783
"Alcachofa", 156.58, 276
"Naranja", 13.79, 1020
"Mandarina", 22.67, 1050
"Frutilla", 303.19, 291
"Cereza", 1012.07, 168
"Melon", 96.20, 388
"Manzana", 124.92, 950
"Ajo", 930.00, 92
"TomCherry", 557.09, 214
"Kiwi", 432.28, 452
"Kinoto", 40.03, 220
"Pepino", 36.26, 450
"Mandarina", 17.62, 1180
"Rabanito", 228.05, 258
"Ciruela", 957.78, 792
"Coliflor", 34.10, 425
"Esparrago", 582.06, 166
"Apio", 56.91, 309
"Zuccini", 82.67, 696
"Palta", 1119.62, 352
"Lima", 1036.11, 202
"Caqui", 838.87, 120
"Repollo", 3.99, 630
"Brocoli", 336.92, 448
"Palta", 512.13, 420
"Manzana", 139.01, 1120
"TomCherry", 538.43, 202
"Berenjena", 56.48, 696
"Calabaza", 18.00, 704
"Lima", 1211.21, 188
"Berenjena", 62.40, 522
"Naranja", 16.01, 1010
"Apio", 67.73, 285
"Zuccini", 89.07, 546
"Durazno", 176.88, 672
"Naranja", 14.05, 1130
"Pera", 156.18, 800
"Papa", 14.72, 810
"Higo", 2480.15, 102
"Zuccini", 91.54, 618
"Durazno", 270.81, 640
"Kinoto", 30.71, 224
"Melon", 100.29, 396
"Uva", 722.31, 318
"Lima", 1075.64, 234
"Brocoli", 314.96, 416
"Zanahoria", 35.85, 534
"Limon", 330.25, 602
"Melon", 93.79, 440
"Zuccini", 95.99, 648
"Acelga", 21.98, 1017
"Naranja", 11.64, 850
"Esparrago", 619.42, 160
"Manzana", 141.12, 940
"Limon", 324.40, 826
"Morron", 2948.38, 570
"Pomelo", 55.62, 981
"Lechuga", 34.17, 936
"Acelga", 17.09, 1026
"Pera", 148.11, 870
"Calabaza", 19.59, 768
"Frutilla", 306.66, 342
"Rabanito", 217.58, 255
"Ajo", 901.97, 88
"Mandarina", 12.64, 800
"Choclo", 45.12, 291
"Kinoto", 26.06, 202
"Kiwi", 417.66, 384
"Esparrago", 652.40, 186
"Banana", 75.05, 980
"Batata", 17.52, 980
"Higo", 2469.52, 118
"Coliflor", 38.82, 460
"Lima", 1225.03, 164
"Mandarina", 17.39, 920
"Zuccini", 78.41, 552
"Tomate", 793.14, 756
"Cebolla", 54.00, 840
"Caqui", 798.47, 101
"Melon", 90.29, 408
"Durazno", 160.60, 832
"Sandia", 66.65, 846
"Ciruela", 916.42, 819
"Berenjena", 58.77, 600
"Lima", 1061.16, 198
"Zanahoria", 35.09, 702
"Alcachofa", 159.64, 324
"Naranja", 13.17, 880
"Alcachofa", 140.20, 336
"Morron", 2885.72, 570
"Palta", 476.07, 535
"Zanahoria", 30.86, 498
"TomCherry", 585.39, 190
"Papa", 23.05, 990
"Batata", 20.38, 900
"Pera", 138.95, 930
"Zanahoria", 36.23, 570
"Morron", 2883.22, 654
"Frambuesa", 2025.85, 97
"Palta", 1165.39, 384
"Zuccini", 88.34, 696
"Tomate", 742.86, 909
"Pera", 155.74, 1110
"Morron", 2947.69, 582
"Choclo", 56.83, 300
"Naranja", 15.29, 890
"Brocoli", 349.32, 416
"Esparrago", 672.16, 160
"Sandia", 60.89, 873
"Kinoto", 33.71, 166
"Calabaza", 24.61, 864
"Ciruela", 995.72, 981
"Sandia", 75.91, 1071
"Lima", 1183.42, 230
"Alcachofa", 143.49, 327
"Higo", 2496.17, 85
"Repollo", 5.88, 658
"Pomelo", 45.15, 999
"Brocoli", 356.82, 384
"Ciruela", 933.13, 846
"Kinoto", 37.75, 192
"Sandia", 59.90, 1071
"Durazno", 277.75, 776
"Zuccini", 77.42, 666
"Sandia", 45.17, 828
"Caqui", 823.54, 94
"Papa", 14.65, 980
"Lechuga", 43.10, 1008
"Durazno", 150.24, 752
"Sandia", 54.03, 756
"Uva", 709.19, 345
"Durazno", 270.47, 744
"Naranja", 19.77, 1070
"Durazno", 165.52, 792
"Durazno", 153.66, 848
"Cebolla", 65.93, 656
"Repollo", 8.12, 567
"Lechuga", 33.51, 900
"Ajo", 865.39, 120
"Morron", 2955.40, 642
"Pepino", 34.80, 560
"Palta", 1214.76, 360
"Manzana", 140.86, 850
"Zanahoria", 31.28, 588
"Sandia", 76.79, 810
"Esparrago", 616.15, 206
"Naranja", 6.79, 940
"Pepino", 39.67, 555
"Mandarina", 21.72, 1080
"Morron", 2948.85, 564
"Naranja", 17.04, 970
"Frutilla", 295.81, 342
"Apio", 63.54, 270
"Melon", 103.37, 412
"Kinoto", 33.21, 160
"Pepino", 33.58, 470
"Zuccini", 75.25, 486
"Lima", 1353.40, 176
"Frutilla", 272.51, 267
"Durazno", 138.75, 944
"TomCherry", 522.76, 216
"TomCherry", 578.49, 206
"Calabaza", 18.27, 728
"Naranja", 12.26, 800
"Rabanito", 216.34, 345
"Papa", 17.40, 1060
"Calabaza", 25.70, 880
"Lima", 1373.96, 220
"Papa", 12.51, 970
"Repollo", 2.09, 658
"Mandarina", 13.69, 980
"TomCherry", 525.17, 194
"Calabaza", 25.58, 880
"Durazno", 283.95, 760
"Naranja", 17.11, 920
"Limon", 307.93, 623
"Calabaza", 26.14, 808
"Esparrago", 640.39, 208
"TomCherry", 559.94, 206
"Alcachofa", 135.36, 297
"Banana", 53.61, 830
"TomCherry", 562.10, 200
"Naranja", 9.43, 920
"Repollo", 6.79, 560
"Durazno", 262.39, 672
"Brocoli", 345.70, 388
"Acelga", 18.70, 1062
"Pera", 140.45, 870
"Frutilla", 316.82, 315
"Batata", 22.62, 1020
"Melon", 93.86, 460
"Morron", 2993.16, 522
"Champignon", 3683.35, 119
"Palta", 443.98, 550
"Calabaza", 21.22, 656
"Melon", 106.84, 452
"Cereza", 1033.70, 216
"Cebolla", 50.65, 728
"Manzana", 142.92, 1100
"Apio", 59.68, 348
"Cebolla", 62.78, 856
"Sandia", 59.35, 1044
"Manzana", 141.14, 880
"Ciruela", 986.85, 909
"Morron", 2969.66, 600
"Pepino", 32.02, 530
"Mandarina", 18.01, 820
"Coliflor", 20.82, 535
"Apio", 54.22, 342
"Naranja", 15.78, 990
"Pomelo", 36.36, 783
"Palta", 1177.61, 348
"Acelga", 13.39, 819
"Sandia", 56.89, 1053
"Limon", 334.86, 651
"Naranja", 9.10, 1070
"Pepino", 27.87, 490
"Esparrago", 642.57, 224
"Lima", 1374.28, 188
"Durazno", 291.29, 888
"Mandarina", 21.73, 910
"Lima", 1233.59, 210
"Lima", 946.77, 164
"Frambuesa", 2118.71, 119
"Cebolla", 59.56, 768
"Lima", 1386.81, 190
"Choclo", 69.90, 264
"Naranja", 12.89, 880
"Durazno", 285.93, 704
"Lechuga", 43.70, 936
"Lima", 1398.85, 212
"Kiwi", 461.19, 348
"Ciruela", 986.58, 846
"Palta", 1108.84, 420
"Lima", 1199.76, 162
"Naranja", 9.49, 850
"Zanahoria", 25.16, 720
"Zuccini", 97.56, 528
"Pepino", 31.58, 470
"Pepino", 44.31, 465
"Choclo", 53.59, 330
"Zanahoria", 36.84, 606
"Alcachofa", 132.23, 291
"Palta", 1153.46, 320
"Naranja", 7.96, 1110
"Cereza", 1081.49, 210
"Batata", 18.38, 890
"Lechuga", 46.35, 801
"Durazno", 185.11, 872
"Palta", 1204.03, 388
"Naranja", 13.02, 1100
"Naranja", 13.71, 970
"Lima", 1243.14, 228
"Berenjena", 56.87, 558
"Cebolla", 57.40, 800
"Batata", 22.63, 830
"Uva", 700.04, 243
"Brocoli", 392.21, 432
"Repollo", 6.16, 637
"Melon", 105.80, 420
"Esparrago", 591.95, 164
"Mandarina", 18.44, 1180
"Alcachofa", 115.96, 327
"Frutilla", 296.08, 339
"Berenjena", 63.84, 594
"Cebolla", 68.00, 688
"Naranja", 10.63, 810
"Berenjena", 54.54, 564
"Batata", 21.81, 990
"Zanahoria", 37.60, 708
"Mandarina", 26.01, 1140
"Pomelo", 54.75, 810
"Berenjena", 61.03, 630
"Melon", 117.29, 360
"Kinoto", 38.48, 216
"Limon", 302.97, 672
"Esparrago", 595.95, 202
"Kinoto", 41.86, 218
"Cereza", 971.19, 190
"Durazno", 163.75, 672
"Pera", 147.66, 1180
"Mandarina", 22.45, 1100
"Durazno", 265.59, 944
"Zanahoria", 42.43, 540
"Palta", 463.75, 535
"Lima", 1227.70, 220
"Frutilla", 273.92, 288
"Manzana", 142.18, 1110
"Pera", 159.84, 1200
"Melon", 91.11, 464
"Naranja", 24.23, 950
"Ciruela", 980.97, 801
"Naranja", 18.63, 830
"Morron", 2921.64, 594
"Lima", 1166.30, 180
"Ciruela", 924.98, 954
"Tomate", 706.01, 837
"TomCherry", 545.03, 224
"Durazno", 277.48, 792
"Esparrago", 633.83, 214
"Champignon", 3586.10, 108
"Kinoto", 35.47, 160
"Melon", 93.13, 392
"Palta", 476.46, 490
"Coliflor", 40.20, 430
"Melon", 109.56, 424
"Naranja", 15.96, 1170
"Naranja", 7.78, 910
"Batata", 21.91, 830
"Caqui", 842.79, 89
"Pomelo", 38.19, 828
"Palta", 498.77, 500
"Kiwi", 452.25, 356
"Calabaza", 10.70, 768
"Cebolla", 70.21, 680
"Choclo", 57.42, 348
"Papa", 20.84, 1170
"Ajo", 952.46, 82
"Cebolla", 71.37, 688
"Repollo", 2.08, 819
"Melon", 111.51, 472
"Champignon", 3622.06, 100
"Kinoto", 31.42, 164
"Champignon", 3603.13, 94
"Palta", 488.26, 425
"Zanahoria", 35.07, 636
"Batata", 17.82, 1170
"Lima", 1038.97, 220
"Lechuga", 44.62, 1035
"Limon", 306.92, 756
"Frambuesa", 2064.47, 100
"Melon", 96.22, 376
"Alcachofa", 138.13, 312
"Frambuesa", 2130.96, 93
"Repollo", 7.93, 735
"Coliflor", 34.88, 525
"Sandia", 69.09, 738
"Naranja", 16.19, 1150
"Pomelo", 48.31, 747
"Kiwi", 422.59, 396
"Frambuesa", 2066.05, 100
"Durazno", 129.24, 736
"Mandarina", 29.46, 810
"Ajo", 891.60, 117
"Repollo", 4.54, 637
"Mandarina", 23.51, 970
"Cereza", 1042.62, 202
"Lima", 1012.12, 166
"TomCherry", 541.82, 180
"Mandarina", 11.55, 970
"Higo", 2520.33, 82
"Tomate", 728.72, 765
"Acelga", 14.46, 819
"Papa", 17.99, 1080
"Choclo", 55.92, 324
"Ajo", 876.99, 117
"Batata", 21.24, 880
"Frutilla", 298.64, 348
"Ajo", 902.64, 103
"Morron", 2956.00, 558
"Ciruela", 949.93, 1026
"Kiwi", 427.78, 404
"Uva", 689.18, 321
"Durazno", 241.60, 864
"Ajo", 939.75, 93
"Mandarina", 20.08, 1100
"Repollo", 4.93, 721
"Tomate", 711.67, 1035
"Manzana", 140.85, 1140
"Alcachofa", 117.42, 246
